location,iso_code,date,people_vaccinated,daily_vaccinations_raw,daily_vaccinations,people_vaccinated_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,coverage_level,intensity_level,days_since_first_vax,progress_stage
Sri Lanka,LKA,2021-01-29,5286.0,5286.0,5286.0,0.02,242.0,5286.0,0.024,Low,Slow,0,Early
Sri Lanka,LKA,2021-01-30,37825.0,32539.0,18912.0,0.17,866.0,18912.0,0.087,Low,Slow,1,Early
Sri Lanka,LKA,2021-01-31,59154.0,21329.0,19718.0,0.27,903.0,19718.0,0.09,Low,Slow,2,Early
Sri Lanka,LKA,2021-02-01,95550.0,36396.0,23888.0,0.44,1094.0,23888.0,0.109,Low,Moderate,3,Early
Sri Lanka,LKA,2021-02-02,118767.0,23217.0,23753.0,0.54,1088.0,23753.0,0.109,Low,Moderate,4,Early
Sri Lanka,LKA,2021-02-03,139914.0,21147.0,23319.0,0.64,1068.0,23319.0,0.107,Low,Moderate,5,Early
Sri Lanka,LKA,2021-02-04,146327.0,6413.0,20904.0,0.67,957.0,20904.0,0.096,Low,Slow,6,Early
Sri Lanka,LKA,2021-02-05,156310.0,9983.0,21575.0,0.72,988.0,21575.0,0.099,Low,Slow,7,Early
Sri Lanka,LKA,2021-02-06,160148.0,3838.0,17475.0,0.73,800.0,17475.0,0.08,Low,Slow,8,Early
Sri Lanka,LKA,2021-02-07,161773.0,1625.0,14660.0,0.74,671.0,14660.0,0.067,Low,Slow,9,Early
Sri Lanka,LKA,2021-02-08,167762.0,5989.0,10316.0,0.77,473.0,10316.0,0.047,Low,Slow,10,Early
Sri Lanka,LKA,2021-02-09,174193.0,6431.0,7918.0,0.8,363.0,7918.0,0.036,Low,Slow,11,Early
Sri Lanka,LKA,2021-02-10,176725.0,2532.0,5259.0,0.81,241.0,5259.0,0.024,Low,Slow,12,Early
Sri Lanka,LKA,2021-02-11,178087.0,1362.0,4537.0,0.82,208.0,4537.0,0.021,Low,Slow,13,Early
Sri Lanka,LKA,2021-02-12,179197.0,1110.0,3270.0,0.82,150.0,3270.0,0.015,Low,Slow,14,Early
Sri Lanka,LKA,2021-02-13,186654.0,7457.0,3787.0,0.85,173.0,3787.0,0.017,Low,Slow,15,Early
Sri Lanka,LKA,2021-02-14,189349.0,2695.0,3939.0,0.87,180.0,3939.0,0.018,Low,Slow,16,Early
Sri Lanka,LKA,2021-02-15,192938.0,3589.0,3597.0,0.88,165.0,3597.0,0.016,Low,Slow,17,Early
Sri Lanka,LKA,2021-02-16,196163.0,3225.0,3139.0,0.9,144.0,3139.0,0.014,Low,Slow,18,Early
Sri Lanka,LKA,2021-02-17,210405.0,14242.0,4811.0,0.96,220.0,4811.0,0.022,Low,Slow,19,Early
Sri Lanka,LKA,2021-02-18,233472.0,23067.0,7912.0,1.07,362.0,7912.0,0.036,Low,Slow,20,Early
Sri Lanka,LKA,2021-02-19,263779.0,30307.0,12083.0,1.21,553.0,12083.0,0.055,Low,Slow,21,Early
Sri Lanka,LKA,2021-02-20,302857.0,39078.0,16600.0,1.39,760.0,16600.0,0.076,Low,Slow,22,Early
Sri Lanka,LKA,2021-02-21,338769.0,35912.0,21346.0,1.55,978.0,21346.0,0.098,Low,Slow,23,Early
Sri Lanka,LKA,2021-02-22,354352.0,15583.0,23059.0,1.62,1056.0,23059.0,0.106,Low,Slow,24,Early
Sri Lanka,LKA,2021-02-23,366907.0,12555.0,24392.0,1.68,1117.0,24392.0,0.112,Low,Moderate,25,Early
Sri Lanka,LKA,2021-02-24,393469.0,26562.0,26152.0,1.8,1198.0,26152.0,0.12,Low,Moderate,26,Early
Sri Lanka,LKA,2021-02-27,441976.0,35343.0,19874.0,2.02,910.0,19874.0,0.091,Low,Slow,29,Early
Sri Lanka,LKA,2021-02-28,466350.0,24374.0,18226.0,2.14,835.0,18226.0,0.083,Low,Slow,30,Early
Sri Lanka,LKA,2021-03-01,509275.0,42925.0,22132.0,2.33,1014.0,22132.0,0.101,Low,Slow,31,Developing
Sri Lanka,LKA,2021-03-02,553821.0,44546.0,26702.0,2.54,1223.0,26702.0,0.122,Low,Moderate,32,Developing
Sri Lanka,LKA,2021-03-03,599991.0,46170.0,29503.0,2.75,1351.0,29503.0,0.135,Low,Moderate,33,Developing
Sri Lanka,LKA,2021-03-04,650991.0,51000.0,35849.0,2.98,1642.0,35849.0,0.164,Low,Moderate,34,Developing
Sri Lanka,LKA,2021-03-05,699521.0,48530.0,41841.0,3.2,1916.0,41841.0,0.192,Low,Moderate,35,Developing
Sri Lanka,LKA,2021-03-06,724278.0,24757.0,40329.0,3.32,1847.0,40329.0,0.185,Low,Moderate,36,Developing
Sri Lanka,LKA,2021-03-07,729562.0,5284.0,37602.0,3.34,1722.0,37602.0,0.172,Low,Moderate,37,Developing
Sri Lanka,LKA,2021-03-08,737062.0,7500.0,32541.0,3.38,1491.0,32541.0,0.149,Low,Moderate,38,Developing
Sri Lanka,LKA,2021-03-09,743775.0,6713.0,27136.0,3.41,1243.0,27136.0,0.124,Low,Moderate,39,Developing
Sri Lanka,LKA,2021-03-10,752098.0,8323.0,21730.0,3.44,995.0,21730.0,0.1,Low,Slow,40,Developing
Sri Lanka,LKA,2021-03-11,759548.0,7450.0,15508.0,3.48,710.0,15508.0,0.071,Low,Slow,41,Developing
Sri Lanka,LKA,2021-03-12,760765.0,1217.0,8749.0,3.48,401.0,8749.0,0.04,Low,Slow,42,Developing
Sri Lanka,LKA,2021-03-13,770408.0,9643.0,6590.0,3.53,302.0,6590.0,0.03,Low,Slow,43,Developing
Sri Lanka,LKA,2021-03-14,773011.0,2603.0,6207.0,3.54,284.0,6207.0,0.028,Low,Slow,44,Developing
Sri Lanka,LKA,2021-03-15,784500.0,11489.0,6777.0,3.59,310.0,6777.0,0.031,Low,Slow,45,Developing
Sri Lanka,LKA,2021-03-16,796792.0,12292.0,7574.0,3.65,347.0,7574.0,0.035,Low,Slow,46,Developing
Sri Lanka,LKA,2021-03-17,806449.0,9657.0,7764.0,3.69,356.0,7764.0,0.036,Low,Slow,47,Developing
Sri Lanka,LKA,2021-03-18,815585.0,9136.0,8005.0,3.74,367.0,8005.0,0.037,Low,Slow,48,Developing
Sri Lanka,LKA,2021-03-19,824523.0,8938.0,9108.0,3.78,417.0,9108.0,0.042,Low,Slow,49,Developing
Sri Lanka,LKA,2021-03-20,829220.0,4697.0,8402.0,3.8,385.0,8402.0,0.038,Low,Slow,50,Developing
Sri Lanka,LKA,2021-03-21,829865.0,645.0,8122.0,3.8,372.0,8122.0,0.037,Low,Slow,51,Developing
Sri Lanka,LKA,2021-03-22,838355.0,8490.0,7694.0,3.84,352.0,7694.0,0.035,Low,Slow,52,Developing
Sri Lanka,LKA,2021-03-28,894053.0,9889.0,9170.0,4.1,420.0,9170.0,0.042,Low,Slow,58,Developing
Sri Lanka,LKA,2021-03-29,894365.0,312.0,8001.0,4.1,366.0,8001.0,0.037,Low,Slow,59,Developing
Sri Lanka,LKA,2021-03-30,903467.0,9102.0,7993.0,4.14,366.0,7993.0,0.037,Low,Slow,60,Developing
Sri Lanka,LKA,2021-03-31,913219.0,9752.0,8077.0,4.18,370.0,8077.0,0.037,Low,Slow,61,Developing
Sri Lanka,LKA,2021-04-01,919753.0,6534.0,7702.0,4.21,353.0,7702.0,0.035,Low,Slow,62,Developing
Sri Lanka,LKA,2021-04-02,923954.0,4201.0,6993.0,4.23,320.0,6993.0,0.032,Low,Slow,63,Developing
Sri Lanka,LKA,2021-04-07,924687.0,151.0,1638.0,4.24,75.0,1638.0,0.008,Low,Slow,68,Developing
Sri Lanka,LKA,2021-04-30,928107.0,19870.0,3236.0,4.25,148.0,174.0,0.001,Low,Slow,91,Established
Sri Lanka,LKA,2021-05-01,928107.0,37838.0,8575.0,4.25,393.0,155.0,0.001,Low,Slow,92,Established
Sri Lanka,LKA,2021-05-02,928107.0,24896.0,12066.0,4.25,553.0,135.0,0.001,Low,Slow,93,Established
Sri Lanka,LKA,2021-05-03,928107.0,8783.0,13254.0,4.25,607.0,115.0,0.001,Low,Slow,94,Established
Sri Lanka,LKA,2021-05-04,928107.0,23135.0,16493.0,4.25,755.0,96.0,0.0,Low,Slow,95,Established
Sri Lanka,LKA,2021-05-05,928107.0,21715.0,19529.0,4.25,895.0,76.0,0.0,Low,Slow,96,Established
Sri Lanka,LKA,2021-05-06,928107.0,18265.0,22072.0,4.25,1011.0,57.0,0.0,Low,Slow,97,Established
Sri Lanka,LKA,2021-05-07,928107.0,17249.0,21697.0,4.25,994.0,0.0,0.0,Low,Slow,98,Established
Sri Lanka,LKA,2021-05-10,931276.0,4517.0,15040.0,4.27,689.0,453.0,0.002,Low,Slow,101,Established
